id,dispersion,max_weight,top1_pos
qb8wa,4.870868451689603e-06,0.9999997615814209,1
g9aaz,0.00025251787155866623,0.9999878406524658,5
j9eff,0.058702241629362106,0.9933235049247742,7
dv7uu,5.585461167356698e-06,0.9999997615814209,4
wfdhz,3.3227686799364164e-05,0.9999984502792358,1
oxtuj,1.274825876862451e-06,1.0,6
owy77,1.789505124092102,0.435179740190506,21
vt4bw,0.00010055310849566013,0.9999951124191284,4
f4np1,5.749443971581059e-06,0.9999997615814209,4
fmo60,0.34017372131347656,0.9367632269859314,6
ifpff,7.24461569916457e-05,0.999996542930603,4
v0sdc,2.6283800252713263e-05,0.999998927116394,6
arc24,1.1819165592896752e-05,0.9999996423721313,5
nm4gg,5.6275683164130896e-05,0.999997615814209,6
a4quc,1.8041018279291166e-07,1.0,0
e465x,2.3564239199913573e-06,1.0,8
e0764,2.2414343447962892e-07,1.0,9
gqoh8,0.00019472549320198596,0.9999905824661255,4
i4gls,0.2265428751707077,0.9634118676185608,6
ithc5,0.0009276123018935323,0.9999476671218872,2
wf185,1.1789506970671937e-06,1.0,10
n1a4b,2.583871264505433e-06,0.9999998807907104,16
k4go7,6.657583071500994e-06,0.9999997615814209,5
s07m6,0.00010474675218574703,0.9999945163726807,1
u2cfx,1.2429344451447832e-06,1.0,7
eyz6g,0.13348758220672607,0.9814838767051697,7
v9e5y,3.750741234398447e-05,0.9999982118606567,2
hgn2e,1.1432463907112833e-05,0.9999995231628418,3
aqzcc,3.234271935070865e-05,0.9999985694885254,4
ri9to,1.829031498346012e-05,0.9999991655349731,7
uh7w2,0.8475856781005859,0.726143479347229,6
pky49,9.310236919191084e-07,1.0,3
lpsba,0.00010921718057943508,0.9999945163726807,9
gzf8q,2.0267529521333927e-07,1.0,0
t87ew,1.1954563206018065e-06,1.0,4
p8n54,3.228816922273836e-06,0.9999998807907104,4
v125w,5.148210675542941e-07,1.0,7
i6ebe,1.6464175132568926e-05,0.9999992847442627,3
gv04g,8.737438292882871e-06,0.9999997615814209,11
idw3c,6.034860234649386e-06,0.9999997615814209,8
fl18t,1.3270349086269562e-07,1.0,0
jlu6w,2.7638552637654357e-06,1.0,7
oquug,3.479531005723402e-05,0.9999984502792358,5
eluud,0.008657621219754219,0.9993033409118652,4
emc0l,3.166290116496384e-05,0.9999986886978149,0
zhkuq,8.827448618831113e-05,0.9999959468841553,5
kk5ch,5.260646503302269e-06,0.9999997615814209,8
qrh6y,6.378178659360856e-05,0.9999970197677612,5
j0rxc,5.104334945826849e-07,1.0,7
ib9l7,9.911414235830307e-05,0.9999955892562866,5
oqlry,4.32534307037713e-07,1.0,5
b7kue,4.50039078714326e-05,0.9999978542327881,3
vkhfm,2.7148457775183488e-06,0.9999998807907104,5
dgcol,1.59039643676806e-06,1.0,13
po0up,2.82443652395159e-05,0.999998927116394,11
xqxms,4.253108272678219e-06,0.9999998807907104,6
sz8zb,3.450470831012353e-05,0.9999984502792358,5
v1pp4,1.2439945749065373e-05,0.9999995231628418,11
wztwl,1.0494813551531479e-07,1.0,2
jc2lp,3.4936579140776303e-07,1.0,6
tgefj,3.7693785088777076e-06,0.9999998807907104,6
rn6ju,0.011071598157286644,0.9990363121032715,16
x0mfz,0.011179611086845398,0.9991752505302429,7
cga3n,1.569217374708387e-06,1.0,4
my4rw,2.342914740438573e-06,0.9999998807907104,5
idg77,6.507971556857228e-05,0.9999970197677612,13
uavue,6.930328527232632e-05,0.9999970197677612,13
pub59,5.087960630589805e-07,1.0,0
kf4wd,0.7547940015792847,0.795856773853302,7
odsek,1.9149856598232873e-06,1.0,6
w8qp5,5.8331213949713856e-05,0.9999973773956299,5
lle5b,4.45110003965965e-07,1.0,0
r7pwv,1.6108936071395874,0.504819929599762,16
e5dhd,3.43759302268154e-06,0.9999998807907104,5
kwywo,0.012762273661792278,0.9988652467727661,54
cmhvh,1.494513162469957e-05,0.9999994039535522,4
hbws9,0.004611572250723839,0.999701201915741,1
yu64g,2.5094652755797142e-06,0.9999998807907104,8
zc7ao,1.1502723282319494e-05,0.9999995231628418,7
cmn86,4.882068242295645e-05,0.9999977350234985,0
r9fja,1.4540458323608618e-05,0.9999995231628418,10
e87nl,0.003120145993307233,0.9998098015785217,6
wsloa,3.7724764752056217e-06,0.9999998807907104,5
tay16,1.5324469131883234e-05,0.9999992847442627,4
b5z8n,5.990002591715893e-06,0.9999997615814209,8
ca8ei,2.9528000595746562e-05,0.9999986886978149,7
cmwh5,8.385725232074037e-05,0.9999961853027344,7
