id,dispersion,max_weight,top1_pos
qb8wa,5.2581224736059085e-05,0.9999973773956299,1
g9aaz,4.6620888838333485e-07,1.0,5
j9eff,6.342431646544355e-08,1.0,7
dv7uu,3.793522296291485e-08,1.0,4
wfdhz,7.821351027814671e-05,0.9999959468841553,1
oxtuj,5.6903110817074776e-05,0.9999971389770508,6
owy77,4.855999577557668e-05,0.999997615814209,1
vt4bw,4.194561915937811e-05,0.9999979734420776,4
f4np1,2.7557862267713062e-05,0.9999986886978149,4
fmo60,0.16108207404613495,0.9764229655265808,6
ifpff,4.933516902383417e-05,0.9999974966049194,4
v0sdc,6.805966404499486e-05,0.999996542930603,6
arc24,8.872466423781589e-06,0.9999996423721313,5
nm4gg,2.272413985338062e-05,0.9999991655349731,6
a4quc,9.08132847143861e-07,1.0,0
e465x,4.982891965710223e-08,1.0,8
e0764,1.0316404086552211e-07,1.0,9
gqoh8,6.678087061118276e-07,1.0,4
i4gls,0.060704611241817474,0.9929256439208984,6
ithc5,0.00025009282398968935,0.9999856948852539,11
wf185,5.97947078517791e-08,1.0,10
n1a4b,9.978461434911878e-08,1.0,16
k4go7,6.136691808933392e-05,0.9999969005584717,5
s07m6,3.111192199867219e-05,0.9999984502792358,1
u2cfx,1.0297976871243009e-07,1.0,7
eyz6g,0.03269102796912193,0.9966117739677429,7
v9e5y,7.566006843262585e-08,1.0,2
hgn2e,6.283868856371555e-07,1.0,3
aqzcc,8.725892257643864e-05,0.9999954700469971,4
ri9to,1.0962362750888133e-07,1.0,7
uh7w2,0.1350645273923874,0.9811628460884094,6
pky49,4.2879739339696243e-05,0.9999978542327881,3
lpsba,0.00022850670211482793,0.9999871253967285,9
gzf8q,7.320792860809888e-08,1.0,0
t87ew,4.318507151879203e-08,1.0,4
p8n54,4.9999151087831706e-05,0.9999974966049194,4
v125w,1.0297976871243009e-07,1.0,7
i6ebe,2.534349368943367e-05,0.9999988079071045,3
gv04g,3.358313551871106e-05,0.9999983310699463,11
idw3c,1.1721813280018978e-05,0.9999995231628418,8
fl18t,6.643856131915982e-09,1.0,0
jlu6w,1.3724627478950424e-07,1.0,7
oquug,0.00012793454516213387,0.999993085861206,5
eluud,0.3490692973136902,0.9366325736045837,3
emc0l,2.8294942239881493e-05,0.9999986886978149,0
zhkuq,4.045303825250812e-08,1.0,5
kk5ch,2.445766222081147e-05,0.9999988079071045,8
qrh6y,0.0001794229174265638,0.9999901056289673,5
j0rxc,1.591312866366934e-05,0.9999992847442627,7
ib9l7,0.0005567655898630619,0.9999657869338989,5
oqlry,1.1348822681611637e-07,1.0,5
b7kue,0.00013904050865676254,0.9999924898147583,3
vkhfm,1.3992429558129515e-05,0.9999994039535522,5
dgcol,6.311663725000471e-08,1.0,13
po0up,7.308242544468158e-08,1.0,11
xqxms,4.498492216953309e-06,0.9999997615814209,6
sz8zb,2.87181628664257e-05,0.9999985694885254,5
v1pp4,7.308242544468158e-08,1.0,11
wztwl,6.600275526125188e-08,1.0,2
jc2lp,1.5871476080064895e-06,0.9999998807907104,6
